Starting 304 Sequential Iterations...
Permutation 199/304 (c=0.90, d=0.90, e=0.45)
Permutation 200/304 (c=0.90, d=0.90, e=0.50)
Permutation 201/304 (c=0.90, d=0.90, e=0.55)
Permutation 202/304 (c=0.90, d=0.90, e=0.60)
Permutation 203/304 (c=0.90, d=0.90, e=0.65)
Permutation 204/304 (c=0.90, d=0.90, e=0.70)
Permutation 205/304 (c=0.90, d=0.90, e=0.75)
Permutation 206/304 (c=0.90, d=0.90, e=0.80)
Permutation 207/304 (c=0.90, d=0.90, e=0.85)
Permutation 208/304 (c=0.90, d=0.90, e=0.90)
Permutation 209/304 (c=0.90, d=0.90, e=0.95)
Permutation 210/304 (c=0.90, d=0.95, e=0.05)
Permutation 211/304 (c=0.90, d=0.95, e=0.10)
Permutation 212/304 (c=0.90, d=0.95, e=0.15)
Permutation 213/304 (c=0.90, d=0.95, e=0.20)
Permutation 214/304 (c=0.90, d=0.95, e=0.25)
Permutation 215/304 (c=0.90, d=0.95, e=0.30)
Permutation 216/304 (c=0.90, d=0.95, e=0.35)
Permutation 217/304 (c=0.90, d=0.95, e=0.40)
Permutation 218/304 (c=0.90, d=0.95, e=0.45)
Permutation 219/304 (c=0.90, d=0.95, e=0.50)
Permutation 220/304 (c=0.90, d=0.95, e=0.55)
Permutation 221/304 (c=0.90, d=0.95, e=0.60)
Permutation 222/304 (c=0.90, d=0.95, e=0.65)
Permutation 223/304 (c=0.90, d=0.95, e=0.70)
Permutation 224/304 (c=0.90, d=0.95, e=0.75)
Permutation 225/304 (c=0.90, d=0.95, e=0.80)
Permutation 226/304 (c=0.90, d=0.95, e=0.85)
Permutation 227/304 (c=0.90, d=0.95, e=0.90)
Permutation 228/304 (c=0.90, d=0.95, e=0.95)
Permutation 229/304 (c=0.95, d=0.80, e=0.05)
Permutation 230/304 (c=0.95, d=0.80, e=0.10)
Permutation 231/304 (c=0.95, d=0.80, e=0.15)
Permutation 232/304 (c=0.95, d=0.80, e=0.20)
Permutation 233/304 (c=0.95, d=0.80, e=0.25)
Permutation 234/304 (c=0.95, d=0.80, e=0.30)
Permutation 235/304 (c=0.95, d=0.80, e=0.35)
Permutation 236/304 (c=0.95, d=0.80, e=0.40)
Permutation 237/304 (c=0.95, d=0.80, e=0.45)
Permutation 238/304 (c=0.95, d=0.80, e=0.50)
Permutation 239/304 (c=0.95, d=0.80, e=0.55)
Permutation 240/304 (c=0.95, d=0.80, e=0.60)
Permutation 241/304 (c=0.95, d=0.80, e=0.65)
Permutation 242/304 (c=0.95, d=0.80, e=0.70)
Permutation 243/304 (c=0.95, d=0.80, e=0.75)
Permutation 244/304 (c=0.95, d=0.80, e=0.80)
Permutation 245/304 (c=0.95, d=0.80, e=0.85)
Permutation 246/304 (c=0.95, d=0.80, e=0.90)
Permutation 247/304 (c=0.95, d=0.80, e=0.95)
Permutation 248/304 (c=0.95, d=0.85, e=0.05)
Permutation 249/304 (c=0.95, d=0.85, e=0.10)
Permutation 250/304 (c=0.95, d=0.85, e=0.15)
Permutation 251/304 (c=0.95, d=0.85, e=0.20)
Permutation 252/304 (c=0.95, d=0.85, e=0.25)
Permutation 253/304 (c=0.95, d=0.85, e=0.30)
Permutation 254/304 (c=0.95, d=0.85, e=0.35)
Permutation 255/304 (c=0.95, d=0.85, e=0.40)
Permutation 256/304 (c=0.95, d=0.85, e=0.45)
Permutation 257/304 (c=0.95, d=0.85, e=0.50)
Permutation 258/304 (c=0.95, d=0.85, e=0.55)
Permutation 259/304 (c=0.95, d=0.85, e=0.60)
Permutation 260/304 (c=0.95, d=0.85, e=0.65)
Permutation 261/304 (c=0.95, d=0.85, e=0.70)
Permutation 262/304 (c=0.95, d=0.85, e=0.75)
Permutation 263/304 (c=0.95, d=0.85, e=0.80)
Permutation 264/304 (c=0.95, d=0.85, e=0.85)
Permutation 265/304 (c=0.95, d=0.85, e=0.90)
Permutation 266/304 (c=0.95, d=0.85, e=0.95)
Permutation 267/304 (c=0.95, d=0.90, e=0.05)
Permutation 268/304 (c=0.95, d=0.90, e=0.10)
Permutation 269/304 (c=0.95, d=0.90, e=0.15)
Permutation 270/304 (c=0.95, d=0.90, e=0.20)
Permutation 271/304 (c=0.95, d=0.90, e=0.25)
Permutation 272/304 (c=0.95, d=0.90, e=0.30)
Permutation 273/304 (c=0.95, d=0.90, e=0.35)
Permutation 274/304 (c=0.95, d=0.90, e=0.40)
Permutation 275/304 (c=0.95, d=0.90, e=0.45)
Permutation 276/304 (c=0.95, d=0.90, e=0.50)
Permutation 277/304 (c=0.95, d=0.90, e=0.55)
Permutation 278/304 (c=0.95, d=0.90, e=0.60)
Permutation 279/304 (c=0.95, d=0.90, e=0.65)
Permutation 280/304 (c=0.95, d=0.90, e=0.70)
Permutation 281/304 (c=0.95, d=0.90, e=0.75)
Permutation 282/304 (c=0.95, d=0.90, e=0.80)
Permutation 283/304 (c=0.95, d=0.90, e=0.85)
Permutation 284/304 (c=0.95, d=0.90, e=0.90)
Permutation 285/304 (c=0.95, d=0.90, e=0.95)
Permutation 286/304 (c=0.95, d=0.95, e=0.05)
Permutation 287/304 (c=0.95, d=0.95, e=0.10)
